case,truth,truth_pattern,verdict,p0,p1,pattern,request
CC-4642,legitimate,none,uncertain,0.52,0.52,card_not_present_new_device,True
CC-4439,legitimate,none,uncertain,0.56,0.56,card_not_present_new_device,True
CC-4316,legitimate,none,legitimate,0.08,0.08,none,False
CC-3703,legitimate,none,legitimate,0.2,0.06,none,True
CC-4988,legitimate,none,legitimate,0.28,0.08,none,True
CC-5324,legitimate,none,fraud,0.83,0.95,card_not_present_new_device,True
CC-4443,legitimate,none,legitimate,0.2,0.06,none,True
CC-4577,legitimate,none,legitimate,0.07,0.07,none,False
CC-5047,legitimate,none,legitimate,0.2,0.06,none,True
CC-4236,legitimate,none,uncertain,0.46,0.46,out_of_region_use,True
CC-3734,legitimate,none,legitimate,0.21,0.06,none,True
CC-5462,legitimate,none,legitimate,0.2,0.06,none,True
CC-5252,legitimate,none,legitimate,0.21,0.06,none,True
